Sklep;Nazwa;Model;Cena;Data;Złącza;Czas reakcji;Przekątna;Rozdzielczość;Matryca
MediaMarkt;PHILIPS;276E8VJSB/00 27;1239;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;PHILIPS;27M1F5800/00 27;3209;2023.06.24;2x DisplayPort 1.4, 2x HDMI 2.1;1 (GTG);"27""";3840 x 2160 (UHD 4K);Nano IPS
MediaMarkt;PHILIPS;24M1N3200VA/00 23.8;749;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (MPRT);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;275E1S/00 27;829;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;4 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;242B1G 23.8;929;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x DVI-D, 1x HDMI 1.4;4 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;272E2FA/00 27;729;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;1 (MPRT), 4 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;PHILIPS;272S9JAL/00 27;669;2023.06.24;1 x DisplayPort 1.2, 1x D-Sub (VGA), 1x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;PHILIPS;276B9/00 27;1259;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4;"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;PHILIPS;16B1P3302/00 15.6;1199;2023.06.24;1x DisplayPort przez USB-C;4 (GTG);"15.6""";1920 x 1080 (Full HD);IPS
MediaMarkt;APPLE;Studio Display;8499;2023.06.24;1x Thunderbolt 3;;"27""";5120 x 2880 (5K);Retina
MediaMarkt;APPLE;Studio Display;9999;2023.06.24;1x Thunderbolt 3;;"27""";5120 x 2880 (5K);Retina
MediaMarkt;SAMSUNG;Odyssey G3;669;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"24""";1920 x 1080 (Full HD);VA
MediaMarkt;MSI;Optix G24C4;889;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;1 (MPRT);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;IIYAMA;G-Master GB2560HSU-B3;979;2023.06.24;1x DisplayPort, 1x HDMI;0.5 (MPRT);"24.5""";1920 x 1080 (Full HD);TN
MediaMarkt;LENOVO;L27m-30 27;899;2023.06.24;1x D-Sub (VGA), 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (tryb ekstremalny);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G3;1049;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"24""";1920 x 1080 (Full HD);VA
MediaMarkt;OMEN;25i FHD;999;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (MPRT);"24.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;LC24RG50FZRXEN 23.5;1049;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;4 (GTG);"23.5""";1920 x 1080 (Full HD);VA
MediaMarkt;SAMSUNG;LC27R500FHRXEN 26.9;999;2023.06.24;1x D-Sub (VGA), 1x HDMI;4;"26.9""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;UltraGear 27GP850-B;1829;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"27""";2560 x 1440 (Quad HD);Nano IPS
MediaMarkt;SAMSUNG;SR35 LS24R35AFHUXEN;529;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;24mq QHD;839;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5;"23.8""";2560 x 1440 (Quad HD);IPS
MediaMarkt;LENOVO;Q24i-1L 23.8;629;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;4 (tryb ekstremalny), 6 (tryb normalny);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M22f FHD;589;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"21.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;24GN600-B 23.8;729;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;27MP60G-B 27;639;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;1 (MBR);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;MSI;Optix AG321CR;1599;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4, 1x HDMI 2.0;1 (MPRT), 4 (GTG);"31.5""";1920 x 1080 (Full HD);VA
MediaMarkt;LENOVO;G34w-10 34;1759;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (MPRT);"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;LENOVO;G27q-20 27;1359;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;LG;27GN800-B 27;1799;2023.06.24;1x DisplayPort, 2x HDMI;1 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;XIAOMI;Mi 34;2499;2023.06.24;2x DisplayPort 1.4, 2x HDMI 2.0;4;"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;LENOVO;G24-10 24;749;2023.06.24;1x DisplayPort, 1x HDMI;1 (tryb ekstremalny);"23.6""";1920 x 1080 (Full HD);TN
MediaMarkt;MSI;Optix G24C6;999;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;1 (MPRT), 4 (GTG);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;27UL550-W 27;1399;2023.06.24;1x DisplayPort, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;LENOVO;G24e-20 23.8;659;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (MPRT);"23.8""";1920 x 1080 (Full HD);VA
MediaMarkt;IIYAMA;G-Master GB2770QSU-B1;1699;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;0.5 (MPRT);"27""";2560 x 1440 (Quad HD);Fast IPS
MediaMarkt;LG;29WN600-W 29;1089;2023.06.24;1 x DisplayPort 1.2, 2x HDMI;5 (GTG);"29""";2560 x 1080 (UltraWide Full HD);IPS
MediaMarkt;OMEN;X 27;2199;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1;"27""";2560 x 1440 (Quad HD);TN
MediaMarkt;MSI;Oculux NXG253R;2499;2023.06.24;1x DisplayPort 1.4, 2x HDMI 2.0;1 (GTG);"24.5""";1920 x 1080 (Full HD);Rapid IPS
MediaMarkt;LENOVO;Q27h-10 27;1399;2023.06.24;1 x DisplayPort 1.2, 1x DisplayPort przez USB-C, 1x HDMI 1.4;4 (tryb ekstremalny);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;HP;OMEN X;1799;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1;"24.5""";1920 x 1080 (Full HD);TN
MediaMarkt;LG;27UL650-W 27;1597;2023.06.24;1x DisplayPort, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;HP;X24c FHD;749;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;4 (GTG);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;27UP850-W 27;1899;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;przenośny;do gier;1899;2023.06.24;1x DisplayPort przez USB-C, 1x micro HDMI;3 (GTG);"15.6""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G5;1349;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;1 (MPRT);"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;SAMSUNG;LS32AM700 32;1799;2023.06.24;1x DisplayPort przez USB-C, 2x HDMI 2.0;8 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;SAMSUNG;Odyssey G7;2999;2023.06.24;1x HDMI 2.0, 2x DisplayPort 1.4;1 (GTG);"26.9""";2560 x 1440 (Quad HD);VA
MediaMarkt;HP;M27f FHD;717;2023.06.24;1x D-Sub (VGA), 2x HDMI;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;HUAWEI;MateView GT;2199;2023.06.24;1x DisplayPort, 2x HDMI;4;"34""";3440 x 1440 (UltraWide QHD);VA
MediaMarkt;SAMSUNG;LS32BM700UUXEN 32;1899;2023.06.24;2x HDMI 2.0;4 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;IIYAMA;G-Master GB3461WQSU-B1;2199;2023.06.24;2x DisplayPort, 2x HDMI;1 (MPRT);"34""";3440 x 1440 (UltraWide QHD);IPS
MediaMarkt;LG;24TN510S-PZ 23.6;1099;2023.06.24;2x HDMI;14 (GTG);"23.6""";1366 x 768 (HD);WVA
MediaMarkt;SAMSUNG;LC27T550FDRXEN 27;1199;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;4 (GTG);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;PEAQ;PMO S320-IQC;1199;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;5;"31.5""";2560 x 1440 (Quad HD);IPS
MediaMarkt;ACER;XF240QSbiipr 23.6;799;2023.06.24;1x DisplayPort, 2x HDMI;1;"23.6""";1920 x 1080 (Full HD);TN
MediaMarkt;LG;27UP600-W 27;1399;2023.06.24;1x DisplayPort, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;IIYAMA;G-Master G2466HSU-B1;829;2023.06.24;1x DisplayPort, 2x HDMI;1 (MPRT);"23.6""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;UltraGear 27GP750-B;1499;2023.06.24;1x DisplayPort 1.4, 2x HDMI;1 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;24f (2XN60AA);799;2023.06.24;1x D-Sub (VGA), 1x HDMI;5;"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;IIYAMA;XB2779QQS-S1 27;3149;2023.06.24;2x DisplayPort, 3x HDMI;4;"27""";5120 x 2880 (5K);IPS
MediaMarkt;LG;34WP65G-B 34;1499;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 1x HDMI;1 (MBR);"34""";2560 x 1080 (UltraWide Full HD);IPS
MediaMarkt;LG;27UP650-W 27;1949;2023.06.24;1x DisplayPort, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;MSI;Optix G242;1049;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1;"23.8""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;UltraGear 27GL850-B;2147;2023.06.24;1x DisplayPort, 2x HDMI;1;"27""";2560 x 1440 (Quad HD);Nano IPS
MediaMarkt;EIZO;FlexScan EV2456-BK;2147;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x DVI-D, 1x HDMI;5 (GTG);"24.1""";1920 x 1200 (WUXGA);IPS
MediaMarkt;MSI;Optix G27C4;1099;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;1 (MPRT);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;LG;32MN500M-B 31.5;1097;2023.06.24;2x HDMI;5 (GTG);"31.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;HP;M32f FHD;989;2023.06.24;1x D-Sub (VGA), 2x HDMI 1.4;7 (GTG);"31.5""";1920 x 1080 (Full HD);VA
MediaMarkt;HP;X34 QHD;1849;2023.06.24;1x DisplayPort 1.4, 1x HDMI 2.0;1 (GTG);"34""";3440 x 1440 (UltraWide QHD);IPS
MediaMarkt;LG;27MP450-B 27;739;2023.06.24;1x D-Sub (VGA), 1x HDMI;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Smart M7;1899;2023.06.24;2x HDMI 2.0;8 (GTG);"32""";3840 x 2160 (UHD 4K);VA
MediaMarkt;HUAWEI;MateView GT;1299;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;4;"27""";2560 x 1440 (Quad HD);VA
MediaMarkt;LG;32GK850G-B;2797;2023.06.24;1x DisplayPort, 1x HDMI;5;"31.5""";2560 x 1440 (Quad HD);VA
MediaMarkt;OMEN;27i QHD;1899;2023.06.24;1x DisplayPort, 1x HDMI;1 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;LG;32MP60G-B 31.5;1029;2023.06.24;1x D-Sub (VGA), 1x DisplayPort, 1x HDMI;1 (MBR);"31.5""";1920 x 1080 (Full HD);IPS
MediaMarkt;SAMSUNG;Odyssey G3;1199;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 1.4;1 (MPRT);"27""";1920 x 1080 (Full HD);VA
MediaMarkt;MSI;Pro MP271;999;2023.06.24;1x D-Sub (VGA), 1x HDMI 1.4;5 (GTG);"27""";1920 x 1080 (Full HD);IPS
MediaMarkt;LG;24QP500-B 23.8;899;2023.06.24;1x DisplayPort 1.4, 2x HDMI;5 (GTG);"23.8""";2560 x 1440 (Quad HD);IPS
MediaMarkt;LG;27UP850N-W 27;1699;2023.06.24;1x DisplayPort, 1x DisplayPort przez USB-C, 2x HDMI;5 (GTG);"27""";3840 x 2160 (UHD 4K);IPS
MediaMarkt;ASUS;VP28UQGL 28;1299;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 2.0;1 (GTG);"28""";3840 x 2160 (UHD 4K);TN
MediaMarkt;HP;2K QHD;1249;2023.06.24;1 x DisplayPort 1.2, 1x HDMI 2.0;4 (GTG);"27""";2560 x 1440 (Quad HD);IPS
MediaMarkt;LG;28TN515S-PZ 27.5;1099;2023.06.24;2x HDMI;8 (GTG);"27.5""";1366 x 768 (HD);VA
MediaMarkt;LG;34WN650-W 34;1699;2023.06.24;1x DisplayPort, 2x HDMI;5 (GTG);"34""";2560 x 1080 (UltraWide Full HD);IPS
MediaMarkt;SAMSUNG;LU28E570DSL/EN 28;1267;2023.06.24;1x DisplayPort, 2x HDMI;1;"28""";3840 x 2160 (UHD 4K);TN
MediaMarkt;SAMSUNG;LC24RG50FQRXEN 23.5;949;2023.06.24;1 x DisplayPort 1.2, 2x HDMI 1.4;4 (GTG);"23.5""";1920 x 1080 (Full HD);VA
